"Targets","T9_biorep1_techrep1","T9_biorep1_techrep2","T9_biorep1_techrep3","T9_biorep2_techrep1","T9_biorep2_techrep2","T9_biorep2_techrep3","T9_biorep3_techrep1","T9_biorep3_techrep2","T9_biorep3_techrep3","T10_biorep1_techrep1","T10_biorep1_techrep2","T10_biorep1_techrep3","T10_biorep2_techrep1","T10_biorep2_techrep2","T10_biorep2_techrep3","T10_biorep3_techrep1","T10_biorep3_techrep2","T10_biorep3_techrep3"
"AT1G22750_ID3",6.40293,6.80313,8.96118,5.62598,4.24019,5.96811,3.31476,3.92156,4.30334,8.84712,9.3712,9.70136,8.30404,11.3351,10.109,10.213,7.74338,10.5563
"AT1G22750_P1",9.87272,8.61604,7.55576,8.86033,9.94129,6.73932,9.14313,9.35177,6.58826,8.69654,9.4385,8.17885,9.12781,8.01116,7.64723,7.49442,11.3165,9.06372
"AT1G22750_P4",33.0884,33.9263,34.2086,27.368,29.8664,27.322,38.4225,39.4751,34.5631,22.8543,19.7418,26.2593,18.5081,15.4849,19.9663,17.6783,18.1371,17.4579
"AT1G22790_P1",12.2309,13.2951,14.8687,11.8207,11.9484,9.2664,12.7264,14.3464,13.2145,9.42786,10.0842,11.96,9.87717,7.96643,7.68245,8.34,10.6508,7.22622
"AT1G22790_P2",18.2896,17.0578,17.1698,17.0918,16.5422,19.1075,11.4999,12.3847,11.7025,9.37747,9.38313,10.0646,7.21439,8.9564,7.95138,9.54608,7.03258,10.4738
"AT1G22860_c1",4.71163,1.73709,0.871097,3.87906,3.07256,3.67773,2.32656,2.65628,2.20714,1.21594,2.34397,2.13164,0.865208,0.941361,2.55005,1.83131,2.14534,1.94908
"AT1G22860_c2",0.528672,2.98911,3.72399,2.81821,2.38166,1.49445,2.07965,1.44229,2.18145,1.8517,2.39302,3.06874,2.76448,2.79017,2.64008,1.79784,1.51238,2.96337
"AT1G22860_s1",0.683173,0,0.328966,0.330895,0.681522,0.314759,0.1891,0.743183,0.714881,2.0018,0.696048,0.946241,1.09634,1.70335,1.17898,1.92793,0.659872,0.298508
"AT1G22860_s2",5.03962,7.2668,6.85227,3.1984,3.68436,3.41676,4.51617,3.56551,5.09364,3.31887,4.21973,3.56207,4.54579,3.88292,3.27235,3.67536,4.86419,4.67457
"AT1G22870_ID5",1.94448,4.75041,1.89098,0.600582,0.711897,1.15276,1.47034,1.31648,1.54523,2.20885,2.97318,3.16873,1.56105,0.764278,0.686937,1.08865,1.53104,1.51989
